article_cluster,top_keywords,article_count
9223,"jeep, wrangler",1
11400,"bike, bag, bosses",1
10081,"kaizer, jr, gets, hitched",1
10071,"max lichaba, sues, stepson",1
10905,"nedbank, chair, naidoo, died",1
11215,"sars, goes, euphonik, million",1
10644,"car crash, govt, official, dies",1
10067,"music, industry, problems, rising",1
11160,"wild boars, shakira, son, attacked",1
10885,"formal, jobs, lost, second, quarter",1
11365,"pain, pumps, diesel, users, october",1
8892,"want, dead, activist, forced, hiding",1
7018,"lebo, exwife, gets, share, lion, king",1
10327,"narcos, star, actor, raba, loves, mtb",1
10242,"mining, exec, shot, johannesburg, home",1
10668,"baby, giant, panda, picture, time, yall",1
10359,"bok, pivot, pollard, leave, montpellier",1
9297,"high school, dawn, new, era, strelitzia",1
11646,"bmf, president, accused, misusing, funds",1
9403,"actor, kathryn, prescott, icu, hit, truck",1
7745,"british royal family, watch, latest, videos",1
9912,"burger king, sa, adds, vegan, menu, options",1
10650,"traditional medicine, heritage, month, power",1
11612,"lockdown claims, santam, ordered, pay, months",1
11725,"undercut, entity, accuses, sab, dirty, tricks",1
10537,"drum 70th, evolution, black, hairstyles, years",1
70,"new, love, actress, music, tv, honey, sa, life",307
9598,"new, star, famous, like, gets, fall, look, boo",17
11606,"sa tourism, acting, ceo, resigns, months, helm",1
5272,"baby names, beautiful, xhosa, zulu, boys, girls",2
10649,"actor, loyiso, macdonald, wife, applies, divorce",1
10652,"choppies, mphoko, dispute, finally, heads, court",1
11238,"north west, car crash, mayor, killed, car, crash",1
11379,"wrap, concourt, candidates, shortlist, announced",1
11315,"bulls, urc, sharks, stormers, lions, sa, win, ref",25
1418,"new, sa, review, suv, kia, toyota, suzuki, market",142
9933,"sharks, flyhalf, signs, loan, deal, israeli, club",1
10697,"uk, crisis, fuel, pumps, dry, british, offer, 500",15
11455,"coal, eskom, power, sa, mantashe, clean, war, pits",8
129,"new, woman, meet, love, im, life, shares, daughter",271
9991,"prince philip, court, rules, remain, sealed, years",1
9488,"rugby championship, live, wallabies, v, springboks",1
10995,"mega, grenadier, suv, en, route, sa, ineos, support",1
11085,"poultry industry, new, growth, transformation, path",1
9564,"sa, boost, debt, eskom, time, key, record, africans",39
10708,"sa, nersa, eskom, govt, needs, china, plan, opinion",39
10303,"allnew, vw, caddy, headed, sa, know, ahead, november",1
8352,"bulls, sharks, currie cup, wp, lions, sa, urc, coach",31
11372,"competition commission, approves, adapt, acquisition",1
4115,"eskom, econ oil, race, de, ruyter, econ, oil, tender",26
10733,"gaining, popularity, drug, addicts, pietermaritzburg",1
10588,"namibia, detects, new, strain, footandmouth, disease",1
11291,"season, life, new, book, wins, memoir, local, artist",83
10713,"child, women, abortion, new, life, kids, love, school",35
4552,"lived, life, zimbabweans, sa, face, uncertain, future",1
10417,"remember, ginger, prices, spiked, covid19, oversupply",1
10117,"sa, jobs, lost, tourism, govt, needs, sector, nigeria",15
10243,"weather, hot, warm, tuesday, cool, monday, week, fine",7
9515,"magashule, foundation, mum, students, stranded, turkey",1
80,"sa, covid19, opinion, women, business, new, ways, work",430
140,"story, family, man, woman, cape town, meet, love, life",290
11395,"study, tips, stress, help, exam, exams, teen, children",36
8463,"boks, style, bok, entry, it, lions series, black, coach",12
10686,"covid19, wave, vaccines, us, fourth, sa, older, persons",47
58,"diet, help, adhd, food, health, watch, children, people",148
11324,"new, offer, card, fnb, property, stokvels, things, know",13
10704,"new, young, life, soccer, community, farmer, big, clean",50
10736,"sa, sharks, bulls, munster, stormers, player, jake, cap",19
11280,"sa, women, ramaphosa, business, govt, ceo, jobs, crisis",44
10059,"top 14, watch, sa, ryno, pieterse, shown, straight, red",1
15,"watch, child, story, children, women, kids, dr, answers",749
10135,"you, gclass, force, gurkha, 4x4, rugged, rough, offroad",4
9552,"covid19, sa, students, young, people, cant, find, cities",61
8260,"money, live, santam, profit, rise, warns, tough, economy",1
